Ticker,Name,Sector,Industry,Year,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,ROE,ROA,Asset_Turnover,Inventory_Days,Receivables_Days,Payables_Days,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Current_Ratio,Quick_Ratio,ROA_t+1,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Cluster,Predicted_ROA
0054.KL,Karyon Industries Berhad,Basic Materials,Specialty Chemicals,2024-03-31,0.1378959669505939,0.0568851582061722,0.0385194793572385,0.0673177871591778,0.0533116441037389,0.0421743625736036,1.094884024326209,72.72296999718019,67.26967750768614,35.40749820458461,0.2640770565458632,0.2089089863457085,33.60610859407178,5.019887994707484,3.5888555925684056,0.0571324825497211,1,0,0,0,0,0,0,0,0,0,4,0.018214636
0054.KL,Karyon Industries Berhad,Basic Materials,Specialty Chemicals,2023-03-31,0.1295613022009243,0.0495587807523993,0.032141930177942,0.0579791849619363,0.0520215817034559,0.0420717554619484,1.30893680712495,54.45225115666311,51.9972051109661,30.824926236269643,0.2364965790530527,0.1912634317469516,36.62166340470118,5.414453119432093,4.123678674145892,0.0421743625736036,1,0,0,0,0,0,0,0,0,0,4,0.024868416
0054.KL,Karyon Industries Berhad,Basic Materials,Specialty Chemicals,2022-03-31,0.1288895889081267,0.0562197256541175,0.0401294477415533,0.0643092031940454,0.0681455516657315,0.0525182094278886,1.3087199646036236,75.6924107023331,70.57390267979596,37.4809134059777,0.2975604539469376,0.2293229984328006,39.18202274636654,4.292787246023947,2.879752251370045,0.0420717554619484,1,0,0,0,0,0,0,0,0,0,4,0.02493897
0056.KL,NCT Alliance Berhad,Technology,Information Technology Services,2023-12-31,0.3713050337641402,0.2294117101295233,0.1355423899664814,0.2374510216615381,0.0620614418389004,0.0451567486162171,0.3331559125332232,717.1716738325174,119.6093718442945,25.94422849969616,0.3743558546775524,0.2723864080787015,5.581896978767008,4.208032898438091,1.9170176233593548,0.0318580211075711,0,0,0,0,0,0,0,0,1,0,3,0.02054681
0056.KL,NCT Alliance Berhad,Technology,Information Technology Services,2022-12-31,0.4067874291923712,0.3055480094920026,0.1830787560807028,0.3120706470679623,0.0890227155081104,0.0530464985438608,0.289746880956944,916.5307712635168,77.8267128315298,124.93427825138254,0.6782015392496291,0.4041240121570094,4.53080747943877,3.398478594587904,1.505608776306296,0.0451567486162171,0,0,0,0,0,0,0,0,1,0,3,0.024820859
0056.KL,NCT Alliance Berhad,Technology,Information Technology Services,2021-12-31,0.3550476246324899,0.2917104243886479,0.1607081330769385,0.2924795629323248,0.0776160143057612,0.0421886798979423,0.262517391560666,984.3081004023678,45.27032161970919,155.415965809443,0.839735552132004,0.456443618300937,5.390865066709869,4.840086172388332,1.980451556663257,0.0530464985438608,0,0,0,0,0,0,0,0,1,0,3,0.023731815
0060.KL,Harvest Miracle Capital Berhad,Technology,Information Technology Services,2024-03-31,0.1575468295460706,0.0078639472254438,0.0263605503316224,0.0820239685926303,0.00764724626169,0.0070108709282398,0.2659607193340532,70.01087779371308,96.64913055097584,62.85448699436781,0.0907697973566826,0.0832162731097337,3.4650428266508806,3.643359102960674,2.876210622108887,0.0162593681235722,0,0,0,0,0,0,0,0,1,0,3,0.008710859
0060.KL,Harvest Miracle Capital Berhad,Technology,Information Technology Services,2023-03-31,0.0908533958758014,-0.0442624346328131,-0.0624663422353537,-0.00015660507241,-0.0289229173822033,-0.0201411379075725,0.3224318438830151,575.4000831841505,35.40490661117516,250.7322014730558,0.4360120820844486,0.3036270289951556,-0.9687140472781144,2.4307807667806403,0.7564134581520776,0.0070108709282398,0,0,0,0,0,0,0,0,1,0,3,-0.006761506
0060.KL,Harvest Miracle Capital Berhad,Technology,Information Technology Services,2022-03-31,0.1233008865902172,0.0036643481263386,0.0334209042114363,0.0862188633648853,0.0203251169071342,0.0151298750996359,0.4527069346752946,418.859910126243,126.53728100837584,186.982709800426,0.3433763843578115,0.2556069827905746,2.6944907174730632,3.3879591203380315,1.4747477429252898,-0.0201411379075725,0,0,0,0,0,0,0,0,1,0,3,0.0067320345
0064.KL,Efficient E-Solutions Berhad,Industrials,Specialty Business Services,2023-12-31,0.5039339055099065,-0.0702643759613875,-0.0238298182821309,0.1113288562698711,-0.0039162624927585,-0.0035217448382355,0.1477873140508304,5.918188272992938,86.58841167528064,54.82134272490034,0.1120233499712221,0.1007383073153285,11.667190824160578,3.963931611061184,3.9519925879962186,0.0168396735748391,0,0,0,0,0,0,1,0,0,0,0,0.022843432
